normal_form,type,variants_in_text,count
владычицы кветлориэна,PER,владычицы кветлориэна,1
владычицы златолесья,PER,владычицы златолесья,1
владычицы галадриэли,PER,владычицы галадриэли,1
волколак,PER,волколаком,1
волков,PER,волков,1
волглый лог пройденный,LOC,волглый лог пройден,1
волглый лог,PER,волглый лог,1
волглый лог,LOC,волглого лога,1
волглого лог,LOC,волглого лога,1
воитель,PER,воитель,1
воины,PER,воинов,1
возрожденной молния,LOC,возрожденной молнии,1
лихолесью,PER,лихолесью,1
лихолесье-то,PER,лихолесье-то,1
лохматый,PER,лохматый,1
лотто чирея,PER,лотто чирея,1
лотго,PER,лотго,1
лоссарнаха,LOC,лоссарнаха,1
лориэнской владычицы,PER,лориэнской владычицы,1
лориэн цветущий,LOC,лориэн цветущий,1
лора,PER,лора,1
лопнула,PER,лопнула,1
любелий,PER,любелия,1
любезная эорлингам,PER,любезная эорлингам,1
лучиэнь  затрепетала,PER,"лучиэнь

затрепетала",1
лунные горы,LOC,лунных гор,1
лугбурза,PER,лугбурза,1
лякошель-торбинсов,PER,лякошель-торбинсов,1
лякошель-торбинсам торбы,PER,лякошель-торбинсам торбы,1
лягушатниках,LOC,лягушатниках,1
лютый всадник,PER,лютый всадник,1
люто,PER,люто,1
лютик,PER,лютик,1
владычица лориэна-высокая,PER,владычица лориэна-высокая,1
владычица благословенного края,PER,владычицу благословенного края,1
владыки запад,LOC,владыки запада,1
внимайте,PER,внимайте,1
вмешался гэлдор,PER,вмешался гэлдор,1
вляпаешься,PER,вляпаешься,1
властитель ристании,PER,властитель ристании,1
властитель белая длань,PER,властителя белой длани,1
властители лориэна,LOC,властители лориэна,1
властелин сумрачного края,PER,властелин сумрачного края,1
властелин мордора,PER,властелин мордора,1
властелин мордор,PER,властелину мордора,1
люн,PER,люн,1
люк,PER,люк,1
люди западный свет,LOC,люди западного света,1
мантия,PER,мантия,1
мантию,PER,мантию,1
магия средиземья,LOC,магия средиземья,1
магических,LOC,магических,1
магический кольца,LOC,магического кольца,1
магический жезл,PER,магический жезл,1
магический жезл,LOC,магический жезл,1
магические колец,LOC,магические колец,1
маг,PER,маг,1
мглу-повсюду,LOC,мглу-повсюду,1
мглистыми горы,LOC,мглистыми горами,1
мглистыми,LOC,мглистыми,1
мглистым,PER,мглистым,1
мглистому,PER,мглистому,1
мглистому,LOC,мглистому,1
владыка арагорн,PER,владыке арагорн,1
владык запад,LOC,владык запада,1
владык,LOC,владык,1
владетеля,PER,владетеля,1
владычицу лориэна,PER,владычицу лориэна,1
владычицу,LOC,владычицу,1
владычице лориэна,PER,владычице лориэна,1
владычице галадриэли,PER,владычице галадриэли,1
владычица цветущий край,LOC,владычица цветущего края,1
владычица сэм,PER,владычица сэму,1
маухура,PER,маухура,1
материк,LOC,материка,1
марийский государь дарина,PER,марийского государя дарина,1
мериадок,LOC,мериадок,1
меретронд,LOC,меретронде,1
мера,PER,мерой,1
менельтарма,LOC,менельтарма,1
менелдил,PER,менелдила,1
мельница,LOC,мельницы,1
мельников,PER,мельниковым,1
мелирот брендизайк,PER,мелирот брендизайк,1
мелиан,PER,мелиан,1
медусельда,PER,медусельда,1
медусальд,PER,медусальда,1
мертвецкие болотах,LOC,мертвецких болотах,1
мертвецкие болота,LOC,мертвецкие болота,1
мертвецкие,LOC,мертвецкие,1
мертвецкая запасть,PER,мертвецкая запасть,1
мертвая крепость,LOC,мертвой крепости,1
мертвая гора,LOC,мертвая гора,1
мерри он,PER,мерри он,1
мерри бродяжнику,PER,мерри бродяжнику,1
мерри арагорну,PER,мерри арагорну,1
мерри,LOC,мерри,1
мериадоком,PER,мериадоком,1
мериадока,PER,мериадока,1
мериадок брендизайк,PER,мериадок брендизайк,1
минас-анора,LOC,минас-анора,1
минао-тирит,LOC,минао-тирит,1
мин-римом,LOC,мин-римом,1
милл,PER,милл,1
метхедраса,LOC,метхедраса,1
метхедрас,LOC,метхедраса,1
метнулся,PER,метнулся,1
мертвым форност,PER,мертвым форностом,1
мертвые,PER,мертвые,1
мертвецких болотах,LOC,мертвецких болотах,1
мертвецких болот,LOC,мертвецких болот,1
минастира,PER,минастира,1
минас-тириту,PER,минас-тириту,1
минас-тиритом,PER,минас-тиритом,1
минас-тиритом,LOC,минас-тиритом,1
минас-тирита диво дивное,LOC,минас-тирита диво дивное,1
вил,PER,вил,1
визгун,PER,визгуну,1
взморья,LOC,взморья,1
взморью,LOC,взморью,1
владыках лориэна,PER,владыках лориэна,1
владыка элронд,PER,владыкою элрондом,1
владыка селербэрн мудрый,PER,владыка селербэрн мудрый,1
владыка барад-дура,PER,владыка барад-дура,1
мифрил,PER,мифрил,1
митрандиру,PER,митрандиру,1
митрандир-де,PER,митрандир-де,1
митлонд,LOC,митлонд,1
митейтиля,LOC,митейтиля,1
митейтиль,PER,митейтиль,1
миражное озеро,LOC,миражном озере,1
мир,LOC,мира,1
миндоллуином,LOC,миндоллуином,1
монотонно,PER,монотонно,1
молот преисподней,PER,молоте преисподней,1
молодчина бомбадил,PER,молодчина бомбадил,1
могучим,PER,могучим,1
могучий,PER,могучий,1
могильников,LOC,могильников,1
вешний,PER,вешний,1
вечновечерняя мгла,PER,вечновечерняя мгла,1
вечерняя звезда,LOC,вечерняя звезда,1
вечерело,PER,вечерело,1
вечереет,PER,вечереет,1
ветрогорной башня,LOC,ветрогорной башни,1
владетели,PER,владетелей,1
владелица наина,PER,владелицы наина,1
витязи нуменора,PER,витязи нуменора,1
витязей нуменора,PER,витязей нуменора,1
вилла горби,PER,вилла горби,1
вила тополапа,PER,вила тополапа,1
вил тополап,LOC,вил тополап,1
могильниках,PER,могильниках,1
могильниках,LOC,могильниках,1
многорад крол,PER,многорад крол,1
моргулу,LOC,моргулу,1
моргула госмог,PER,моргула госмог,1
моргота,PER,моргота,1
моргота,LOC,моргота,1
моргот стражи,LOC,морготом стражи,1
моргвей,LOC,моргвея,1
мораннона,PER,мораннона,1
мордору,PER,мордору,1
мордору,LOC,мордору,1
мордорский замок,LOC,мордорский замок,1
мордорские,LOC,мордорских,1
мордор перевал,LOC,мордора перевалом,1
моргульской дорога,LOC,моргульской дороги,1
моргульский перевал,LOC,моргульского перевала,1
моргульский,PER,моргульским,1
моргульские луга,LOC,моргульских лугах,1
моргульская дорога,LOC,моргульской дороге,1
морийский рва,LOC,морийского рва,1
морийская стена,PER,морийская стена,1
мории балин,PER,мории балин,1
морией,PER,морией,1
вестфольдского,LOC,вестфольдского,1
вестфольдский,PER,вестфольдскому,1
вестфольда,PER,вестфольда,1
вестфольда,LOC,вестфольда,1
взгорье,PER,взгорье,1
взгорным,PER,взгорным,1
взгорный переката,PER,взгорного переката,1
взгорный переката,LOC,взгорного переката,1
взгорный,PER,взгорный,1
взгорный,LOC,взгорного,1
взбодрись,PER,взбодрись,1
взберется,PER,взберется,1
веяло,PER,веяло,1
море нимродэль,LOC,морю нимродэль,1
море исилдуром,LOC,моря исилдуром,1
морды,PER,морды,1
мордору страны,LOC,мордору стран,1
мортхондского нагорья,LOC,мортхондского нагорья,1
мортхондская долина,LOC,мортхондская долина,1
мортхонд,PER,мортхонду,1
морок обезлюдел,LOC,морок обезлюдел,1
мория,LOC,мория,1
морийское царство,PER,морийское царство,1
морийским пещерам,LOC,морийским пещерам,1
морийским копям,PER,морийским копям,1
морийский царства захлопнулись,LOC,морийского царства захлопнулись,1
музгаш,PER,музгаш,1
мужайся,PER,мужайся,1
мудрых,LOC,мудрых,1
мудрые,LOC,мудрые,1
мудрецы средиземья,PER,мудрецы средиземья,1
мудрейших,LOC,мудрейших,1
мудрейшего,PER,мудрейшего,1
мох,PER,мха,1
мост дарина,LOC,мостом дарина,1
на рассвет,LOC,на рассвете,1
на запад,LOC,на запад,1
на забытый остров,LOC,на забытом острове,1
на горгорот,PER,на горгорот,1
н-да-а,PER,н-да-а,1
мэта бересклета,PER,мэта бересклета,1
мэллон,PER,мэллон,1
мчавшиеся,LOC,мчались,1
мухлевал,PER,мухлевал,1
великий хребет,LOC,великого хребта,1
великий океан,LOC,великого океана,1
великий лес фангорн,LOC,великий лес фангорн,1
великий кольца,LOC,великого кольца,1
ветрогорная башне,LOC,ветрогорной башне,1
ветрогорная,PER,ветрогорная,1
ветробой-прилетел,PER,ветробой-прилетел,1
ветлянки,PER,ветлянки,1
ветлянке,PER,ветлянке,1
ветлянке,LOC,ветлянке,1
ветер,PER,ветер,1
мустангримцы,PER,мустангримцы,1
мустангримская равнина,LOC,мустангримской равнине,1
мустангримом,PER,мустангримом,1
мустангрима,LOC,мустангрима,1
наконец берегонд,PER,наконец берегонд,1
наин,PER,наина,1
называние,PER,называние,1
назгул,PER,назгул,1
наевшись,PER,наевшись,1
надеждой,PER,надеждой,1
надежда,PER,надежды,1
нагорья,LOC,нагорья,1
наговор враг,PER,наговор врага,1
наговор,PER,наговор,1
нагадит,PER,нагадит,1
нависшую,PER,нависшую,1
наверняка фарамир,PER,наверняка фарамир,1
набивай,PER,набивай,1
на́ин i,PER,на́ина i,1
наркостом,PER,наркостом,1
наркисс-человек,PER,наркисс-человек,1
нарви,PER,нарви,1
напоминаем,PER,напоминаем,1
нандурион,PER,нандурион,1
наместников,PER,наместников,1
наместник гондора,PER,наместник гондора,1
наместник,PER,наместника,1
намерение,PER,намерение,1
недлорета,LOC,недлорета,1
недвижим,PER,недвижим,1
негасимым горнилам,PER,негасимым горнилам,1
невысокликов,PER,невысокликов,1
небесный меченосец мэнальвагор,PER,небесный меченосец мэнальвагор,1
не-а,PER,не-а,1
нашего крол,LOC,нашего крола,1
начальники,PER,начальниками,1
наутро,PER,наутро,1
наур,PER,наур,1
настают,PER,настают,1
наставший,PER,настанет,1
наслуха,LOC,наслуха,1
наслух,PER,наслух,1
наслух,LOC,наслух,1
неснимаемый наговор,PER,неснимаемый наговор,1
неслышно,PER,неслышно,1
непобедимый,PER,непобедимый,1
необоримая тьма,PER,необоримая тьма,1
ненастья,LOC,ненастья,1
неназванною,LOC,неназванною,1
немочь,PER,немочь,1
нелдоретский лес,LOC,нелдоретском лесу,1
нездешних морей,LOC,нездешних морей,1
нездешними морями,LOC,нездешними морями,1
нездешние море,LOC,нездешние моря,1
незапамятный тракт,LOC,незапамятный тракт,1
неживую логовину,LOC,неживую логовину,1
нежданно,PER,нежданно,1
недреманным оком,PER,недреманным оком,1
недреманного ока,PER,недреманного ока,1
нижнее озеро,LOC,нижнее озеро,1
нибса,PER,нибса,1
неужели фродо,PER,неужели фродо,1
неторным путь,PER,неторным путем,1
неторный путь,PER,неторный путь,1
неторный путь,LOC,неторный путь,1
неторному путь,PER,неторному пути,1
неторному,LOC,неторному,1
неторное перепутье,LOC,неторное перепутье,1
неторного пути,PER,неторного пути,1
неторного,PER,неторного,1
нет-нет-нет,PER,нет-нет-нет,1
несокрушимый град,PER,несокрушимый град,1
неснимаемых наговоров,PER,неснимаемых наговоров,1
неснимаемым наговором,PER,неснимаемым наговором,1
ноддора,PER,ноддора,1
ногрод,LOC,ногрод,1
ноб-телепень,PER,ноб-телепень,1
ноб,LOC,нобом,1
но-знаешь,PER,но-знаешь,1
но лучиэнь,PER,но лучиэнь,1
нимродэль лориэнские леса,LOC,нимродэль лориэнские леса,1
нимродэли,LOC,нимродэли,1
нимлота,PER,нимлота,1
нимбретильских берега,LOC,нимбретильских берегах,1
ник,PER,ника,1
низверженный нуменор,PER,низверженный нуменор,1
норкинсы,PER,норкинсы,1
норгорду прогрохотал,LOC,норгорду прогрохотал,1
норгорду,PER,норгорду,1
норгордской дорога,LOC,норгордской дороги,1
норгордская дорога,LOC,норгордской дороге,1
норгордская,LOC,норгордской,1
норгорде,LOC,норгорде,1
норгорда-на-озере,LOC,норгорда-на-озере,1
норгорда мили,LOC,норгорда миль,1
норгорд-то,PER,норгорд-то,1
нора лим,PER,нора лим,1
ноли,PER,ноли,1
ножками-то,PER,ножками-то,1
обеденном чертоге,PER,обеденном чертоге,1
о элберет,PER,о элберет,1
о сэм,PER,о сэм,1
о златой лориэн,PER,о златой лориэн,1
нэф,PER,нэф,1
нэндальфа,PER,нэндальфа,1
нэндальфа,LOC,нэндальфа,1
нурнена,PER,нурнена,1
нуменорского королевство,LOC,нуменорского королевства,1
великая соединенную дружина,PER,великую соединенную дружину,1
великая пограничная река,LOC,великой пограничной реки,1
веленье теодена,PER,веленье теодена,1
весту теоден,PER,весту теоден,1
весело,PER,весело,1
верящие,PER,верьте,1
вершина вершины,LOC,вершине вершин,1
верховья,LOC,верховья,1
верных,PER,верных,1
верескор,LOC,верескор,1
вепрь,PER,вепрь,1
венчалась,PER,венчалась,1
великое северное княжество,LOC,великого северного княжества,1
ну сэм,PER,ну сэм,1
норна,PER,норна,1
норн,LOC,норну,1
огненная,LOC,огненная,1
оглядеться-то,PER,оглядеться-то,1
овида,PER,овида,1
объяснивший,PER,объясни,1
объявление,LOC,объявление,1
объявивший,PER,объяви,1
обругание генералиссимус,PER,обругание генералиссимуса,1
обратно,LOC,обратно,1
обновитель,PER,обновитель,1
обзорному сторожевому пост,PER,обзорному сторожевому посту,1
оберн,LOC,оберна,1
одинокой,PER,одинокой,1
одинокой,LOC,одинокой,1
одеваясь,PER,одеваясь,1
оддо шерстолап,PER,оддо шерстолап,1
оддо лякошель-торбинс,PER,оддо лякошель-торбинс,1
огромная вода,PER,огромную воду,1
огонь,PER,огню,1
огнистою,LOC,огнистою,1
огнистой гора,LOC,огнистой горе,1
огнистой,PER,огнистой,1
огненог,PER,огненог,1
огненный оком,PER,огненным оком,1
огненный глаз,PER,огненным глазом,1
огненное око,LOC,огненное око,1
он,PER,он,1
омарьо,PER,омарьо,1
олорином,PER,олорином,1
олифант,PER,олифант,1
окраинные земли,LOC,окраинные земли,1
окраинные горы,LOC,окраинных гор,1
оком мордор,PER,оком мордора,1
око морлора,LOC,око морлора,1
океан,LOC,океан,1
оина,PER,оина,1
озерное побережье,LOC,озерным побережьем,1
онтвальда,LOC,онтвальда,1
онтвальд,PER,онтвальд,1
онтавы,PER,онтавы,1
онтаву,PER,онтаву,1
онтавой,PER,онтавой,1
онтав,PER,онтава,1
онт,PER,онт,1
оно,PER,оно,1
ондогера фириэль,PER,ондогера фириэль,1
ондогера,LOC,ондогера,1
она,PER,она,1
он-то,PER,он-то,1
орк-предводитель,PER,орк-предводитель,1
ори,LOC,ори,1
орел,PER,орел,1
оральдом,PER,оральдом,1
опий,PER,опием,1
онтят,PER,онтят,1
варда оиолоссао,PER,варда оиолоссао,1
варда,PER,варда,1
валяном,PER,валяном,1
вальда,LOC,вальда,1
валинорских древ,PER,валинорских древ,1
валинор,LOC,валинор,1
великий князь,PER,великий князь,1
великий князь,LOC,великого князя,1
великий дарин,PER,великий дарин,1
великий гондор,PER,великого гондора,1
великие орлы,LOC,великие орлы,1
великие кольца,LOC,великие кольца,1
великие князья арнор,LOC,великих князей арнора,1
великие вратами,LOC,великими вратами,1
великие врата,LOC,великие врата,1
онтомолвище-то,PER,онтомолвище-то,1
онтов-то,PER,онтов-то,1
онтицы,PER,онтицы,1
ортханком,PER,ортханком,1
ортханка,LOC,ортханка,1
орома,PER,оромё,1
ородруину,PER,ородруину,1
ородруин,LOC,ородруином,1
митлонд,PER,митлонд,1
орлы,LOC,орлы,1
оркское,PER,оркское,1
осматриваясь,PER,осматриваясь,1
оскалится,PER,оскалится,1
оскаленный,LOC,оскаленный,1
южнолинчский,PER,южнолинчский,1
оскаленного,LOC,оскаленного,1
осиннику,PER,осиннику,1
осгилиатом,LOC,осгилиатом,1
осгилиате разрушенные,LOC,осгилиате разрушены,1
осгилиате,PER,осгилиате,1
осгилиата,LOC,осгилиата,1
осгилиат,PER,осгилиату,1
ортханкский камень,LOC,ортханкский камень,1
ортханкский,LOC,ортханкском,1
отворить,PER,отворить,1
отворите,PER,отворите,1
отважься,PER,отважься,1
острый,PER,острым,1
остров захваченный,LOC,остров захвачен,1
авось,PER,авось,1
остранной,PER,остранной,1
остранной,LOC,остранной,1
бэрд,PER,бэрд,1
бурятьем,PER,бурятьем,1
ятаган грышнака,PER,ятаган грышнака,1
бурые равнинах,LOC,бурых равнинах,1
вековечный,PER,вековечный,1
вековечную гавань,LOC,вековечную гавань,1
вековечном лес,PER,вековечном лесе,1
вековечного лес,LOC,вековечного леса,1
вдогон,LOC,вдогон,1
вгрызся,PER,вгрызся,1
вардой,PER,вардой,1
вардо,PER,вардо,1
а исилдур,PER,а исилдур,1
остемнете,LOC,остемнете,1
оставивший жихаря,PER,оставь жихаря,1
оссторожней,PER,оссторожней,1
оссирианда,PER,оссирианда,1
ох,PER,ох,1
отыщи,PER,отыщи,1
отчего край,LOC,отчего края,1
отступный,LOC,отступный,1
отряд хранители,LOC,отряду хранителей,1
отряд дорога,LOC,отряду дорогу,1
отряд гэндальф,PER,отряда гэндальф,1
отряд вражьим,PER,отряде вражьим,1
отрок эорл,LOC,отрок эорл,1
отрок эорел,PER,отрока эорла,1
отроги мглистого,PER,отроги мглистого,1
отпорную городьбу,PER,отпорную городьбу,1
отпорной городьба,PER,отпорной городьбою,1
отдохнешь,PER,отдохнешь,1
а лучиэнь,PER,а лучиэнь,1
парт-галене,LOC,парт-галене,1
палатам,PER,палатам,1
пажитях,PER,пажитях,1
пажити,LOC,пажити,1
пажитей,PER,пажитей,1
пажитей,LOC,пажитей,1
очнись,PER,очнись,1
охтар,PER,охтар,1
охранцы,PER,охранцы,1
охранцев,PER,охранцев,1
охранитель заповедный край,LOC,охранитель заповедного края,1
охладелая земля,LOC,охладелая земля,1
перворожденных,LOC,перворожденных,1
а элберет гилтониэль,PER,а элберет гилтониэль,1
а элберет гилтониэль  сереврен,PER,"а элберет гилтониэль

сереврен",1
первейший,PER,первейший,1
пеленнорских пажитей,LOC,пеленнорских пажитей,1
пеленнорская,LOC,пеленнорской,1
пеленнора,PER,пеленнора,1
а элберет гилтониэль  сереврен рейна,PER,"а элберет гилтониэль

сереврен рейна",1
пелендур,PER,пелендур,1
пеларгире,LOC,пеларгире,1
южная,LOC,южную,1
эш,PER,эш,1
паутинка,PER,паутинка,1
пересыпь,LOC,пересыпь,1
перепрыгнем оскаленный,PER,перепрыгнем оскаленный,1
перекованного меч,PER,перекованного меча,1
эфель-дуатом,LOC,эфель-дуатом,1
передохнул,PER,передохнул,1
перегрину,PER,перегрину,1
перегрина крола,PER,перегрина крола,1
букка,PER,букка,1
буйную,PER,буйную,1
эфель-дуата,PER,эфель-дуата,1
эред-нимрайс,PER,эред-нимрайса,1
будь изенгард,PER,будь изенгард,1
брюхан форлонг,PER,брюхан форлонг,1
эред-нимрайс,LOC,эред-нимрайса,1
валаров феанор,PER,валаров феанор,1
эред-литуя,PER,эред-литуи,1
а.кистяковский,PER,а.кистяковского,1
валарам,PER,валарам,1
в ристании,PER,в ристании,1
ярристом,PER,ярристом,1
я — эовин,PER,я — эовин,1
я — бергил,PER,я — бергил,1
перегрин владыка раздола,PER,перегрин владыке раздола,1
первый ярус,LOC,первом ярусе,1
перворожденных,PER,перворожденных,1
пину,LOC,пину,1
пиннат-гелина,LOC,пиннат-гелина,1
пиннат-гелин,LOC,пиннат-гелина,1
я гайма,PER,я гайма,1
пик,PER,пик,1
пещера,LOC,пещерой,1
пескунсишке,PER,пескунсишке,1
перийан,PER,перийан,1
поглотила,LOC,поглотила,1
южный нагорья,LOC,южного нагорья,1
повелитель ристании,PER,повелитель ристании,1
повелевай,PER,повелевай,1
поберегись,PER,поберегись,1
побежим,PER,побежим,1
побегайки,PER,побегайки,1
побегайк брендизайк,LOC,побегайка брендизайком,1
пнул,PER,пнул,1
плыви,PER,плыви,1
племя сильные,LOC,племени сильных,1
плавенка,PER,плавенка,1
пить-есть-то,PER,пить-есть-то,1
южные вороты,LOC,южным воротам,1
питающие,LOC,питающих,1
пит норочкинс,PER,пит норочкинс,1
подгорным царством,PER,подгорным царством,1
адрагил,PER,адрагила,1
подгорном царстве дайна,LOC,подгорном царстве дайна,1
подгорном царстве,LOC,подгорном царстве,1
подгорное царства дайна,LOC,подгорного царства дайна,1
аделард,PER,аделард,1
подбочась,PER,подбочась,1
подбашенные горы,LOC,подбашенных горах,1
подай денэтор,PER,подай денэтору,1
агларонд,LOC,агларонд,1
погляжу,PER,погляжу,1
погляди,PER,погляди,1
поглядела,PER,поглядела,1
покинь ортханк,PER,покинь ортханк,1
покачнувшись,PER,покачнувшись,1
показавший кольцо,PER,покажи кольцо,1
показавший,PER,показал,1
пойте,PER,пойте,1
ага,PER,ага,1
пойла,PER,пойлы,1
пойду-ка,PER,пойду-ка,1
поискал,PER,поискал,1
пожарная-то прогалина,PER,пожарная-то прогалина,1
пожалую,PER,пожалую,1
подстенок,LOC,подстенок,1
подслушивал,PER,подслушивал,1
подручник владыка барад-дура,PER,подручник владыки барад-дура,1
подозревавшие,PER,подозревали,1
поднялиссь,PER,поднялиссь,1
поостерегись,PER,поостерегись,1
пончика,PER,пончика,1
южные,LOC,южным,1
глядь,PER,глядь,1
понесу,PER,понесу,1
помолчали-помолчали,PER,помолчали-помолчали,1
помолчав,PER,помолчав,1
помогший,PER,поможет,1
поляны,LOC,поляны,1
полумесячный залив,LOC,полумесячном заливе,1
пол,PER,пол,1
покров тьма,LOC,покровом тьмы,1
поколь,PER,поколь,1
покойницкой гати,PER,покойницкой гати,1
покойницкая гать,PER,покойницкая гать,1
поклянешься,PER,поклянешься,1
поспешим,PER,поспешим,1
поспешайте,PER,поспешайте,1
посовеститесь,PER,посовеститесь,1
послушненький смеагорел,PER,послушненького смеагорла,1
последняя светлая обитель,LOC,последней светлой обители,1
последняя надежда,PER,последней надежды,1
последняя гора,LOC,последней горы,1
гляди,PER,гляди,1
последний мост,LOC,последнего моста,1
последние берега,LOC,последние берега,1
после-то,PER,после-то,1
посланец мордор,PER,посланец мордора,1
горбадок брендизайк,PER,горбадок брендизайк,1
пора,LOC,пора,1
поплыл,PER,поплыл,1
попалсся,PER,попалсся,1
предвечный враг,PER,предвечный враг,1
предвечный властитель,PER,предвечный властитель,1
предвечные края,LOC,предвечные края,1
предвечную владычицу заокского край,PER,предвечную владычицу заокского края,1
правитель княжество,LOC,правителю княжества,1
правитель денэтор,PER,правитель денэтор,1
горбадок,PER,горбадока,1
пошатываясь,PER,пошатываясь,1
почудилось,PER,почудилось,1
почему бродяжник,PER,почему бродяжник,1
горбага,PER,горбага,1
поход,LOC,поход,1
поторопись,PER,поторопись,1
потому-то,PER,потому-то,1
потом фродо,PER,потом фродо,1
поспешишшь,PER,поспешишшь,1
гондорское княжество,LOC,гондорское княжество,1
прелесстный горлум,PER,прелесстный горлум,1
прелессти,PER,прелессти,1
прекрасная итил,PER,прекрасная итил,1
предостерегает,PER,предостерегает,1
предначальных лет,PER,предначальных лет,1
гондором,LOC,гондором,1
предначальные дни,PER,предначальным дням,1
предначальную эпоху,LOC,предначальную эпоху,1
предмостный трактир,LOC,предмостный трактир,1
предмостной караульни,LOC,предмостной караульни,1
предгорное плато,LOC,предгорное плато,1
предводитель кольценосцев,PER,предводитель кольценосцев,1
предводитель девятерых кольценосцев,PER,предводитель девятерых кольценосцев,1
предводитель,PER,предводитель,1
привражьих,LOC,привражьих,1
гондоре,PER,гондоре,1
привражьем,LOC,привражьем,1
гондора боромир,PER,гондора боромир,1
приветочки,PER,приветочки,1
прибежала,PER,прибежала,1
преогромные смиалы,PER,преогромные смиалы,1
гондор государь,LOC,гондоре государь,1
бродяжник припрятавший,LOC,бродяжник припрятал,1
бродяжник оголтелый,PER,бродяжник оголтелый,1
горислав преображающегося,LOC,гориславе преображающегося,1
бродягой,PER,бродягой,1
бурые равнинам,LOC,бурым равнинам,1
бурое пригорье,PER,бурое пригорье,1
буркот,PER,буркот,1
буреломный угорью,PER,буреломному угорью,1
буреломный угорье,PER,буреломном угорье,1
буреломный угорье,LOC,буреломном угорье,1
буреломное угорье,LOC,буреломное угорье,1
горестной скорби,PER,горестной скорби,1
буковец,PER,буковец,1
преображающихся,PER,преображающихся,1
премудрыми,PER,премудрыми,1
прелесть-то,PER,прелесть-то,1
горестно,PER,горестно,1
горемык побегайк,PER,горемык побегайк,1
пригорье-как,LOC,пригорье-как,1
пригорье южные воротами,LOC,пригорье южными воротами,1
пригорье неторным,LOC,пригорье неторным,1
приглядите,PER,приглядите,1
приглядевшись,PER,приглядевшись,1
приглушил,PER,приглушил,1
привратный чертог,LOC,привратному чертогу,1
привратный покой,LOC,привратный покой,1
привратный,PER,привратный,1
привратный,LOC,привратный,1
привратницу,LOC,привратницу,1
привражья сворачивавший,LOC,привражья сворачивал,1
примуле брендизайк,PER,примуле брендизайк,1
приморье,LOC,приморье,1
приморийский порог,PER,приморийский порог,1
прилипни,PER,прилипни,1
призрачным,PER,призрачным,1
призраков-назгулов,PER,призраков-назгулов,1
призрак,PER,призрак,1
приготовься,PER,приготовься,1
пригорья прямо,LOC,пригорья прямо,1
пригорья болтающиеся,LOC,пригорья болтаться,1
горевестник,PER,горевестник,1
пригорью,PER,пригорью,1
гордыней,PER,гордыней,1
гордо,PER,гордо,1
приречьем,LOC,приречьем,1
приречье-такую,LOC,приречье-такую,1
приречный тракт,LOC,приречного тракта,1
приречный взгорья,LOC,приречного взгорья,1
приречные,PER,приречных,1
приречное взгорье,PER,приречное взгорье,1
приречное,PER,приречное,1
глухомани,PER,глухомани,1
приречного,LOC,приречного,1
припоминались речка,LOC,припоминались речки,1
приоткрывая,PER,приоткрывая,1
приозерный край,LOC,приозерном крае,1
глупоссти,PER,глупоссти,1
глубокопы,PER,глубокопы,1
проклятием исилдура,PER,проклятием исилдура,1
проклятие,PER,проклятия,1
прозрачный мир,LOC,прозрачный мир,1
прожившая,PER,прожила,1
проглочу,PER,проглочу,1
глубины,LOC,глубин,1
проворонил,PER,проворонил,1
провожатый горлум,PER,провожатый горлум,1
голубые горы,LOC,голубые горы,1
брендизайка,PER,брендизайка,1
брендизаик,PER,брендизаик,1
брендидуимский,LOC,брендидуимского,1
бруиненская,PER,бруиненской,1
брожу,PER,брожу,1
бродяжника фродо,PER,бродяжника фродо,1
бродяжника,LOC,бродяжника,1
бродяжник-усталый,PER,бродяжник-усталый,1
бродяжник-то,PER,бродяжник-то,1
пробудись,PER,пробудись,1
присядьте,PER,присядьте,1
прислужников мрака,LOC,прислужников мрака,1
прискакал,PER,прискакал,1
голдвин,LOC,голдвин,1
голасгил,PER,голасгил,1
гномам,PER,гномам,1
путешественникам,LOC,путешественникам,1
прямая,LOC,прямой,1
прыгать-то,PER,прыгать-то,1
проходное ущелье,LOC,проходное ущелье,1
просыпайтесь,PER,просыпайтесь,1
проссто смеагорл,PER,проссто смеагорл,1
проснитесь,PER,проснитесь,1
гном глоин,PER,гном глоин,1
прорытвинсы,LOC,прорытвинсы,1
промой,PER,промой,1
пролетая,PER,пролетая,1
раздоле,LOC,раздоле,1
раздола,LOC,раздола,1
горбатом,LOC,горбатом,1
раздала,PER,раздала,1
горбата,PER,горбата,1
горнбурга,PER,горнбурга,1
развилка,LOC,развилка,1
развеивали,PER,развеивали,1
разбуженный,PER,разбуженный,1
радбугу,PER,радбугу,1
радагасту карему,PER,радагасту карему,1
рат-келердайн,LOC,рат-келердайн,1
рат-динен,PER,рат-динена,1
рассыпемся,PER,рассыпемся,1
расселина,PER,расселина,1
распрощаемся,PER,распрощаемся,1
распроклятого,PER,распроклятого,1
распахнутые,PER,распахнутые,1
раммаст-экор,LOC,раммаст-экора,1
раммас-экором,LOC,раммас-экором,1
боромиру арагорн,PER,боромиру арагорн,1
боромира-почему,PER,боромира-почему,1
боромира гэндальф,PER,боромира гэндальф,1
бродила нимродэль,LOC,бродила нимродэль,1
бродам,PER,бродам,1
горнбурга,LOC,горнбурга,1
горлумом,PER,горлумом,1
бриллиант,PER,бриллиант,1
брий,PER,брего,1
